"Civilité";"NOM";"Prénom";"Date de Naissance";"Adresse";"Téléphone";"E-mail"
"M.";"BORROTI MATIAS DANTAS";"Raphaël";"1976-07-10";"70 rue des Coquelicots, Villeneuve-d'Ascq";"0328178508";"rborrotimatiasdantas4171@free.fr"
"Mme";"OLMEADA MARAIS";"Nor";"1983-12-09";"131 rue de Valenciennes, Reims";"0418932546";"nolmeadamarais1551@gmail.com"
"Mme";"RAYES GEMEZ";"Olena";"1992-08-28";"22 rue Jubin, Nancy";"0532731620";"orayesgemez5313@outlook.com"
"Mme";"SING";"Ainhoa";"1982-11-09";"138 rue de Livry-Garan, Aubagne";"0705224200";"asing8183@free.fr"
"M.";"ABDIULLINA";"David Alexander";"1975-01-07";"126 rue de Aix-en-Provence, Marcq-en-Baroeuf";"0590232772";"david-alexander.abdiullina@laposte.net"
"M.";"WOAGNER";"Moez";"1984-08-16";"162 rue de Tours, Garges-lès-Gonesse";"0832205629";"moez.woagner@laposte.net"
"M.";"HONRY";"Matteo";"1996-02-17";"191 rue de Clermont-Ferrant, Nantes";"0482381862";"matteo.honry@yahoo.com"
"M.";"CECCANI";"Kevin";"1982-02-16";"32 rue de Meaux, Brest";"0664426037";"kevin.ceccani@hotmail.com"
"Mme";"VOYRET";"Alice";"1988-08-13";"124 rue de Cannes, Nanterre";"0486856520";"alice.voyret@hotmail.com"
"M.";"RINERD";"Julien";"1989-05-16";"166 rue de Pessac, La Courneuve";"0727252485";"jrinerd5241@yahoo.com"
"M.";"WOSTPHOL";"Olivier";"1983-05-24";"40 rue de Vaulx-en-Velin, Cannes";"0860680312";"owostphol@gmail.com"
"M.";"GIYRAUD";"Vincent";"1994-12-07";"93 rue Hippolyte Kahn, Mérignac";"0518940604";"vincent.giyraud@yahoo.com"
"M.";"KLOEN";"Benjamin";"1997-07-07";"151 rue des Bienvenus, Saint-Brieuc";"0220989602";"benjamin.kloen@yahoo.com"
"M.";"UNLU";"Adrien";"1986-04-09";"80 rue de Troyes, Meudon";"0367699654";"adrien.unlu@laposte.net"
"M.";"MIE";"Romain";"1994-11-17";"151 rue de Nîmes, Martigues";"0307363387";"romain.mie@free.fr"
"Mme";"BEUOLLOT";"Audrey-Laure";"1993-04-10";"152 rue Millon, Colombes";"0202294489";"audrey-laure.beuollot@gmail.com"
"M.";"DALMARRE";"Jose Luis";"1994-05-17";"68 rue Poizat, Poitiers";"0549997540";"jose-luis.dalmarre@free.fr"
"M.";"BOUTILIB";"Stéfan";"1987-09-17";"42 rue de Evreux, Le Mans";"0552505347";"stefan.boutilib@gmail.com"
"M.";"GOGUOLLOT";"Rémy";"1987-06-03";"189 rue Jean Novel, Livry-Garan";"0477151696";"rgoguollot@gmail.com"
"M.";"CRAPAN";"Louis";"1977-12-16";"7 rue Début, Montauban";"0351726095";"lcrapan8910@hotmail.com"
"M.";"LAAZEZ";"Julien";"1991-03-03";"166 rue du 4 Septembre 1797, Le Tampon (La Réunion)";"0789257237";"julien.laazez@hotmail.com"
"M.";"BOUOCHRANA";"Xavier";"1976-01-17";"102 rue Paul Lafargue, St-Maur-des-Fossés";"0507002403";"xbouochrana@hotmail.com"
"M.";"SIDAR";"Criti";"1986-05-26";"192 rue du Canada, Chartres";"0942244718";"criti.sidar@outlook.com"
"M.";"RALLOND";"Antoine";"1985-11-18";"90 rue Pierre Voyant, Amiens";"0300853587";"antoine.rallond@gmail.com"
"M.";"THEE THIEN NGHIA";"Yann";"1975-12-16";"40 rue Magenta, Rezé";"0998247431";"ytheethiennghia8688@laposte.net"
"M.";"PARTEER";"Lucas";"1991-06-25";"53 rue de Villejuif, Clichy";"0338752096";"lparteer8884@gmail.com"
"M.";"BIUVAER";"Nacer";"1987-12-19";"106 rue de Rouen, Carcassonne";"0308160740";"nacer.biuvaer@yahoo.com"
"M.";"VILLEN";"Ali";"1992-08-05";"37 rue Louis Bocquet, Puteaux";"0269635308";"ali.villen@hotmail.com"
"M.";"FOULA";"Aurélien";"1994-09-11";"138 rue Jean Zuber, Lyon";"0640971720";"afoula6009@gmail.com"
"M.";"STARRS";"Lucas";"1979-05-31";"137 rue Jean Bertin, Carcassonne";"0113140081";"lstarrs496@laposte.net"
"M.";"EL GHROB";"Joris Nicolas";"1996-11-03";"84 rue de Charleville-Mézières, Melun";"0187556598";"jelghrob4781@free.fr"
"M.";"TRIN";"Yoann";"1997-10-01";"97 rue de Nanterre, Villejuif";"0650322544";"yoann.trin@hotmail.com"
"M.";"MEKHTERO";"Bogdan Mihai";"1992-11-12";"26 rue Racine, Cayenne (Guyane)";"0175787757";"bogdan-mihai.mekhtero@laposte.net"
"M.";"MONOTTO";"Josué";"1990-01-26";"59 rue de Montluçon, Marseille";"0195535864";"jmonotto449@free.fr"
"M.";"PATTIT";"Philipe";"1991-01-19";"93 rue de Nanterre, Nîmes";"0438848608";"ppattit@outlook.com"
"M.";"MITHAIS";"Franck";"1996-11-06";"186 rue Paul Cambon, Mantes-la-Jolie";"0418269213";"franck.mithais@outlook.com"
